name,set,number,rarity,variant,date,market_price
Sunflora,Twilight Masquerade,169,Illustration Rare,holofoil,2026-07-20,8.48
Swablu,Paradox Rift,213,Illustration Rare,holofoil,2026-07-20,27.29
Swadloon,White Flare,88,Illustration Rare,holofoil,2026-07-20,12.46
Swanna,White Flare,110,Illustration Rare,holofoil,2026-07-20,16.18
Swinub,Journey Together,165,Illustration Rare,holofoil,2026-07-20,3.4
Swoobat,White Flare,120,Illustration Rare,holofoil,2026-07-20,14.53
Tangela,151,178,Illustration Rare,holofoil,2026-07-20,15.62
Tapu Bulu,Shrouded Fable,65,Illustration Rare,holofoil,2026-07-20,13.31
Tarountula,Scarlet & Violet,199,Illustration Rare,holofoil,2026-07-20,17.19
Tatsugiri,Twilight Masquerade,186,Illustration Rare,holofoil,2026-07-20,22.88
Team Rocket's Houndoom,Destined Rivals,191,Illustration Rare,holofoil,2026-07-20,14.46
Team Rocket's Meowth,Destined Rivals,203,Illustration Rare,holofoil,2026-07-20,29.08
Team Rocket's Murkrow,Destined Rivals,200,Illustration Rare,holofoil,2026-07-20,9.81
Team Rocket's Orbeetle,Destined Rivals,198,Illustration Rare,holofoil,2026-07-20,3.78
Team Rocket's Raticate,Destined Rivals,202,Illustration Rare,holofoil,2026-07-20,6.22
Team Rocket's Spidops,Destined Rivals,187,Illustration Rare,holofoil,2026-07-20,6.04
Team Rocket's Weezing,Destined Rivals,199,Illustration Rare,holofoil,2026-07-20,9.68
Tepig,White Flare,96,Illustration Rare,holofoil,2026-07-20,41.39
Terrakion,White Flare,135,Illustration Rare,holofoil,2026-07-20,29.63
Throh,Black Bolt,128,Illustration Rare,holofoil,2026-07-20,10.7
Timburr,Twilight Masquerade,183,Illustration Rare,holofoil,2026-07-20,6.75
Timburr,Black Bolt,125,Illustration Rare,holofoil,2026-07-20,21.11
Tinkatink,Paldea Evolved,216,Illustration Rare,holofoil,2026-07-20,32.78
Tinkatuff,Paldea Evolved,217,Illustration Rare,holofoil,2026-07-20,36.75
Tirtouga,Black Bolt,106,Illustration Rare,holofoil,2026-07-20,40.06
Toedscool,Scarlet & Violet,201,Illustration Rare,holofoil,2026-07-20,5.81
Toedscruel,Paradox Rift,185,Illustration Rare,holofoil,2026-07-20,7.06
Togedemaru,Phantasmal Flames,104,Illustration Rare,holofoil,2026-07-20,2.34
Torkoal,Twilight Masquerade,172,Illustration Rare,holofoil,2026-07-20,7.26
Toxtricity,Phantasmal Flames,103,Illustration Rare,holofoil,2026-07-20,2.17
Tranquill,Black Bolt,149,Illustration Rare,holofoil,2026-07-20,6.6
Tropius,Paldea Evolved,195,Illustration Rare,holofoil,2026-07-20,17.71
Trubbish,White Flare,140,Illustration Rare,holofoil,2026-07-20,19.27
Turtonator,Stellar Crown,146,Illustration Rare,holofoil,2026-07-20,5.01
Tympole,Black Bolt,103,Illustration Rare,holofoil,2026-07-20,16.09
Tynamo,Black Bolt,113,Illustration Rare,holofoil,2026-07-20,20.31
Tyranitar,Paldea Evolved,222,Illustration Rare,holofoil,2026-07-20,76.93
Unfezant,Black Bolt,150,Illustration Rare,holofoil,2026-07-20,35.02
Vanillish,Paradox Rift,190,Illustration Rare,holofoil,2026-07-20,12.11
Vanillish,White Flare,112,Illustration Rare,holofoil,2026-07-20,15.23
Vanillite,White Flare,111,Illustration Rare,holofoil,2026-07-20,18.76
Vanilluxe,White Flare,113,Illustration Rare,holofoil,2026-07-20,44.46
Varoom,Obsidian Flames,206,Illustration Rare,holofoil,2026-07-20,3.27
Veluza,Paradox Rift,192,Illustration Rare,holofoil,2026-07-20,12.48
Venipede,Black Bolt,132,Illustration Rare,holofoil,2026-07-20,9.91
Vibrava,Surging Sparks,206,Illustration Rare,holofoil,2026-07-20,3.92
Virizion,White Flare,95,Illustration Rare,holofoil,2026-07-20,31.48
Vivillon,Surging Sparks,193,Illustration Rare,holofoil,2026-07-20,5.89
Volcarona,Black Bolt,100,Illustration Rare,holofoil,2026-07-20,61.05
Vullaby,White Flare,144,Illustration Rare,holofoil,2026-07-20,10.68
Vulpix,Mega Evolution,138,Illustration Rare,holofoil,2026-07-20,20.34
Wailord,Journey Together,162,Illustration Rare,holofoil,2026-07-20,16.46
Wartortle,151,171,Illustration Rare,holofoil,2026-07-20,63.62
Watchog,White Flare,153,Illustration Rare,holofoil,2026-07-20,11.53
Wattrel,Twilight Masquerade,178,Illustration Rare,holofoil,2026-07-20,5.61
Whirlipede,Black Bolt,133,Illustration Rare,holofoil,2026-07-20,8.67
Wigglytuff,Phantasmal Flames,105,Illustration Rare,holofoil,2026-07-20,6.44
Wiglett,Scarlet & Violet,206,Illustration Rare,holofoil,2026-07-20,24.98
Wimpod,Paradox Rift,191,Illustration Rare,holofoil,2026-07-20,14.13
Woobat,White Flare,119,Illustration Rare,holofoil,2026-07-20,15.14
Wugtrio,Paldean Fates,224,Illustration Rare,holofoil,2026-07-20,2.88
Yamask,White Flare,122,Illustration Rare,holofoil,2026-07-20,12.04
Yamper,Phantasmal Flames,99,Illustration Rare,holofoil,2026-07-20,3.68
Yanma,Destined Rivals,183,Illustration Rare,holofoil,2026-07-20,4.32
Yveltal,Paradox Rift,205,Illustration Rare,holofoil,2026-07-20,28.47
Zacian,Phantasmal Flames,100,Illustration Rare,holofoil,2026-07-20,3.99
Zamazenta,Destined Rivals,201,Illustration Rare,holofoil,2026-07-20,5.18
Zebstrika,White Flare,115,Illustration Rare,holofoil,2026-07-20,29.74
Zeraora,Stellar Crown,151,Illustration Rare,holofoil,2026-07-20,14.95
Zoroark,White Flare,143,Illustration Rare,holofoil,2026-07-20,83.01
Zorua,Shrouded Fable,75,Illustration Rare,holofoil,2026-07-20,28.16
Zorua,White Flare,142,Illustration Rare,holofoil,2026-07-20,48.23
Zweilous,White Flare,147,Illustration Rare,holofoil,2026-07-20,13.19
